token,id,voted
4407bf1a79cbdfa6fd4c4d5dd54ab670fdbb0f97ada0b13b3cb10bfefeefee,22559868,False
87b5a78e0d799e6a943d809b58a499a0c0c0a07c4dd92c261b2158b7caad38,22559868,False
7ab5a9900d41f8965a8ce9e77536eb675a47c55abbf783276c2970b0f56894,22559868,False
6e262631044e1ca9cfd1dfe1f8b7fd5540f8ed480d90614b13cc9ba4d26bc0,22559868,False
ec16d832b18647e9dbb797489708da1cd33a0bec9da037962c8695c86ed35e,22559868,False
a18998eac098ff23dfee1563c3b5765aca4bb1e33f377cf43e61ed8dcaa88c,22559868,False
51ae07e3e2d800b5661f202a47ea73eeb1c61dd8d3b41d4d0cf20fc6f061d1,22559868,False
7fbe43804128151ff83358ad9a751d4520ad93060bf007f5e95ceb57bd8fb8,22559868,False
ee94ea1dd4ba409c2f6c4971b1c6a093b226b51400034b105ffa9cf9d99ea8,22559868,False
ffd917bcf2e8a9eec5e229a926d92588f000af28e63919eb13a120742aa678,22559868,True
434ae226ca91639dc47ab703442bc82cae06a9d21fd4fe402c4ab653917825,1,True
